Parameter,Description,Units,Rate_Hz,Samples
ECYC_3,ENGINE CYCLE 3 LSP,HOURS,0.25,31
ECYC_4,ENGINE CYCLE 4 LSP,HOURS,0.25,31
EHRS_1,ENGINE HOURS 1 LSP,HOURS,0.25,31
TCAS,ERROR,ERROR,ERROR,ERROR
GPWS,ERROR,ERROR,ERROR,ERROR
TMAG,ERROR,ERROR,ERROR,ERROR
TAI,ERROR,ERROR,ERROR,ERROR
WAI_1,ERROR,ERROR,ERROR,ERROR
WAI_2,ERROR,ERROR,ERROR,ERROR
DWPT,ERROR,ERROR,ERROR,ERROR
OIPL,ERROR,ERROR,ERROR,ERROR
FADF,ERROR,ERROR,ERROR,ERROR
FADS,ERROR,ERROR,ERROR,ERROR
EHRS_4,ENGINE HOURS 4 LSP,HOURS,0.25,31
EHRS_3,ENGINE HOURS 3 LSP,HOURS,0.25,31
EHRS_2,ENGINE HOURS 2 LSP,HOURS,0.25,31
TMODE,ERROR,ERROR,ERROR,ERROR
ATEN,ERROR,ERROR,ERROR,ERROR
LATP,LATITUDE POSITION LSP,DEG,1,124
FIRE_1,ERROR,ERROR,ERROR,ERROR
FIRE_2,ERROR,ERROR,ERROR,ERROR
FIRE_3,ERROR,ERROR,ERROR,ERROR
FIRE_4,ERROR,ERROR,ERROR,ERROR
FGC3,ERROR,ERROR,ERROR,ERROR
ILSF,ERROR,ERROR,ERROR,ERROR
ESN_1,ENGINE SERIAL NUMBER 1 LSP,UNITS,0.25,31
ESN_2,ENGINE SERIAL NUMBER 2 LSP,UNITS,0.25,31
